"id","t","p","p_adj"
"200986_at",20.3514517419367,1.63395629026336e-41,1.39158610720763e-39
"201058_s_at",19.9480908050673,5.39284567795291e-39,2.95258300867922e-37
"201116_s_at",3.67191728302855,0.000350684576991805,0.00050289939806215
"201117_s_at",4.08011349398802,7.94843796582145e-05,0.000118646109071122
"201141_at",17.6904625993084,1.61022393360066e-36,4.11412215034967e-35
"201147_s_at",18.0503442329279,7.89666768322215e-37,2.12378799269817e-35
"201149_s_at",15.7972876061707,5.80741048431463e-29,4.86489632374554e-28
"201150_s_at",17.2165230769157,1.70812070372947e-35,3.58705347783189e-34
"201261_x_at",16.9122128955558,2.2737266644132e-34,3.91643031072521e-33
"201262_s_at",11.8272347227267,2.56721167444661e-20,1.03566723603333e-19
"201348_at",14.1082786760279,6.54769681073225e-27,4.52145009497862e-26
"201430_s_at",15.9914778505975,1.11150147854724e-32,1.44400997170587e-31
"201431_s_at",17.4631531281427,4.37733490844283e-36,1.00156036039446e-34
"201495_x_at",7.03692906535556,1.89786493803138e-09,3.59632503090496e-09
"201496_x_at",9.67024368558865,2.56017835382586e-14,6.47649078616343e-14
"201497_x_at",10.1971345423738,5.01010269511809e-16,1.4657418762626e-15
"201525_at",9.22334577221231,5.45022630429854e-15,1.45055502161279e-14
"201539_s_at",9.16839749999384,9.15249812790351e-14,2.26302897259292e-13
"201616_s_at",18.1830235854252,1.26046108822505e-37,4.20062358315002e-36
"201617_x_at",17.8917318404169,4.2426638691602e-37,1.32734769620869e-35
"201645_at",11.3044197754297,3.72179429376875e-20,1.47811156796567e-19
"201792_at",16.8479398775824,1.0436931405658e-31,1.23075506499029e-30
"201842_s_at",18.6032465617823,1.0549418972371e-38,5.08510483663204e-37
"201843_s_at",19.7467265699193,2.67433062699573e-37,8.62232127712445e-36
"201848_s_at",4.2025961069615,4.83064027644951e-05,7.27443177190285e-05
"201849_at",5.45822727188062,2.35742222979791e-07,4.03340209629486e-07
"201909_at",-0.82728107092951,0.40980771079128,0.446824481253935
"202037_s_at",8.59288726022716,3.34759037825516e-12,7.4159769506722e-12
"202133_at",19.2096911028027,5.97414790690009e-40,3.81598697553243e-38
"202203_s_at",0.57892953350698,0.563819761762764,0.591605540576535
"202206_at",14.2062342908253,3.30091933467728e-28,2.55571178790923e-27
"202207_at",14.1477362248515,3.14807208629289e-28,2.44974340522182e-27
"202222_s_at",8.69811473783981,1.54251396170804e-12,3.50322059747916e-12
"202274_at",9.32369800419369,2.05902559047327e-14,5.26081038365921e-14
"202286_s_at",-0.847931078866296,0.398157663248935,0.435050390420968
